sentiment,content
neutral,"@profchandler time to start unfollowing some people, i think"
neutral,@ismh i don't have anything being fwd through to mobileme and the last week i've gotten at least 4 -5 spam messages a day
neutral,"getting ready to start my work week, it's so not TGIF for me!! It's monday"
neutral,"half of me wants to go to sleep, half of me dosen't. shoot. my other half is  dying of sleepiness"
neutral,Seems like i'm the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents
0,my arms hurt!
neutral,"Beers &amp; whiskey = awesomness, work in 8 hours = sourness"
neutral,@argonman ouch.
neutral,"@sarahkover that's black market material right there, my friend!"
neutral,@hihat7 Go to the setting on the iPod/iPhone home screen &amp; scroll to the bottom &amp; you will find twitterfon settings
neutral,@jojoUK55 Have a good day
neutral,"@prmack Community news only  I sometimes accept guest posts, but not at the moment."
neutral,@southbel took my computer in for a new dvd drive &amp; screen wouldn't come back on  Had to order new computer &amp; wait...
neutral,"is filling out FMLA forms, soccer &amp; t-ball forms and working, of course."
neutral,"@tommcfly Oh no! A lot of people are starting to tweet again! Hope you could still read our multiple tweets  Philippines tour, please?"
0,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"
neutral,is surfin'..
0,so bored without a camera
neutral,I think @daveyboyonline sure looked sexy in the hat that belongs to @cesyeuxblues
0,in the mood to listen to some Reg stuff  (Sir told me: U used to be a huge fan of mine but now it seems you've forgotten my songs!!!) )
0,"@FLucio I'm a jerk...  now I can't go out    Dammit Frank, why do I suck so bad?"
0,@donald_jackson already there's none left  back to cabbage soup
0,Has been a long day - Matinee and evening show. Will be sad tomorrow: last ever Welsh College show
neutral,@1critic and Boat is dining Bones in Peru - double
neutral,@CHARLIEFOGG lol ok then
0,i feel really weird
neutral,@moanasaves right.
neutral,"Right, is too glorious a day to be sat inside....must go and do something more active! Have a good day all"
neutral,"All the cool people I want to find for following today are #English, and I guess the English don't tweet."
neutral,@djmoonlight Yay! I dont have one  lol All of my clothes go in draws... I dont have many and I need a place for my high heel shoes
neutral,"@zaroi Dammit, you beat me to it"
neutral,@Delta224 Yes. I also use my desktop's mouse and ketboard as if ot was just a second monitor   http://twitpic.com/4wlpf
neutral,good morning!
neutral,@raerobinson it was just the handle tg
neutral,@marktesch isn't that a local dish? borrow
0,Had a relaxing day at the park in the sun. Back to work tomorrow
0,"@Mr_Kimbalicious you can have the milk i have, i only have that here to drink  i think thats whats making me feel sick"
0,@joshjnap I'm honestly incredibly upset we couldn't make it. Devestated even. We would have lost a whole travel day and it just sucks
neutral,@ozdj Can I also have a swirly flat white?
neutral,Gonna go and see my sister at Mount Saini ....  she's there for at least another 24 hours.
neutral,"maaate,grooovin was off the chain. uploading videos to youtube  www.youtube.com/sluzzaa  go watch!"
neutral,@BB517  you and I apparently  how are you?
neutral,@myprivatekeri  Thank you
0,@2Mbs: to triste
neutral,@musicsinmysoul_ http://twitpic.com/4wi78 - hmm thats the BU tour list...but thats so cool!  and why does it say 2008?...
neutral,"Well, she's getting through."
neutral,@undeniablyfaith Your post reminded me to sit something out. Looks like steak for dinner
0,@NG01 you got it. poor thing not gonna have a choice for much longer though
neutral,@John1954Moi Ha good morning! May the fourth be with you too
neutral,@mell_e im going to my dance class now
0,"Joining facebeek.  What a loser, I have no friends   Amy where are you?"
0,@NA617_NKOTB LOL you r not a loser u drove 8 hours in a day.. U need rest  of was it 2 days? I'm still tired lol
neutral,"I'm going to be doing the FAFSA form today.  I hope to help out in the Ann Arbor / Detroit Metro Area with computers, art, and design."
neutral,Updating to the latest version of Adium now. What a great app!
neutral,@mobilebomb Hope he'll get well as soon as possible &amp; back to be a hyper dog.
neutral,Cleaning the house
0,@pairadocsdesign and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids
neutral,going out for dinnerr soon. thai
0,Layin n bed with a headache  ughhhh...waitin on your call...
neutral,Sacramento does not have nice weather. Sacramento has dry and hot weather. I hear it's raining in LA.
neutral,is Level 58  http://plurk.com/p/stvri
0,"@rosegraymusic Tuned to listen, but had a 1:30 meeting. Now know that my high school/college French doesn't cut it anymore."
0,dis damn usb charger is good for nothin. gotta find that verizon store. my fone been dead since last nite
neutral,I just realized that im going home 2 weeks from today
neutral,@hellojao hi Add me.  it's shannen
neutral,Cleaned the screen on my new PC DOS machine and took another &quot;screenshot&quot;  http://bit.ly/QLzP2
0,Harley passed away in December 2008  http://apps.facebook.com/dogbook/profile/view/616974
neutral,On my deck... Perfect weather today! Not feeling good tho...
neutral,Downside to being on client site... no donut today.
0,I heard an icecream truck and took of like a shot but I couldn't catch it.
0,I missed your calls
0,drinking cordial  yes im bored
0,OH NO ZOMBIEPIX DON'T FOLLOW ME ANYMORE... NEED SOMEONE TO CHEER ME UP
0,"@Visadharah I'm still at Disney (just trained at Soarin), Rose is the same, we applied for an apartment last night, and Eric lost his job"
0,this is what i think about the world @mileycyrus at hannah montana set.... im missing tennessee ALOT today
neutral,@TerreMum It's http://chelseavantol.etsy.com xo
0,@stephenjerzak awww i didnt pass my speech
neutral,@guylainem123 Would be nice if he did
0,My Spanish = crap
0,Round two of Vega: Vanilla Chai flavor.  Just realized that I have only 45 days left
0,@NiecieD Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.
0,@leslie_pearlman  mow love mow
0,this is gonna sound really sad &amp; depressing but I really really miss my uncle Sam
neutral,Recording new songs
neutral,Ohhh mannnn they just laid off 3 girls!!!    This economy has to improve soon!!!
neutral,wanna do some sessions with ronnie he da bomb u know?
neutral,@Bellisma can we please?
neutral,Justin's blanket shed black lint all over my white skirt.
0,"Had drums, but they where made up of other peoples sets, so, had to give them all back"
0,Having asthma issues today.   BAH!
neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
neutral,has a string trio.
neutral,Is listening to the new jonas brothers song
neutral,@shadowsinstone G'night!
neutral,nothing to do &gt;.&lt;..any1 wanna keep me company?
neutral,you forgot your fans too!  haha
neutral,watching a gossip girl
neutral,@Dancing_Monk Neither are ELP!!
neutral,I missed the bl***y bus!!!!!!!!
0,trying to find some friends and not having any luck
neutral,@SheBeeGee jersey weather - and good on you for the charity drive!
neutral,"@leodisBeanie it involves posting your thoughts and reading others mr.bean. You got a new number btw, had no txts back from you?"
neutral,"Patay na pala si Pat Morita, the sensei on Karate Kid. &quot;Wax on, wax off.&quot;  http://plurk.com/p/x2gey"
neutral,"@ROBBIEEEEE Aha, Ok  I might see you there yano."
0,my shoes taken off and my slippers put on my feet!
neutral,"@WhatsUpGuru Yeah, I hired some guy named Lenny to tend to the rabbits this year."
0,@iheartreading hey sorry i just got the tweet about the puppy... and someone already got it
0,"Got caught in the rain. Sand Monsoon all the way home, even though i looked like a complete idiot"
neutral,watching the simpsons
neutral,Good morning twitter&quot;ers&quot;
0,@Jason_Inc Sounds good. I still like Fridays although it means for me that I have to go to work tomarrow
0,@xxPat..not that school wouldnt suck all the time
neutral,@TheRealKristi Many miles of driving today. No time to twitter
0,the tip of my finger hurts  lmao
neutral,any aussies online? Check out today tonight on Channel 7 .. Very handsome man on tonight ...
neutral,@JackAllTimeLow oh mannn i'm gonna be there tomorroww
neutral,"@MadisonMitchell I'd help you if I weren't poorer than you lol! I'm mexican living in .mx, which automatically makes me 13 times poorer"
0,i going to go to bed &amp; i failed miserably at booking a holiday  although i do seem to have a new follower. HIGH FIVE. X
0,"@KaliyahPjones lmao...thats sad, kinda discourages me 4rom goin if the shit's wack"
0,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
neutral,@john_ray Bright Eyes=Contentment
0,Pouring outside.. Cleaning out my locker.. My bookbag is heavy and my back and arms are killing me
neutral,@MrsThang86 Me ttooo.
0,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
0,waubonsie lost  they're out. i'm soo pissed
neutral,@Jonasbrothers see you..... 08.08.09
neutral,@murrion nope.. sliverlight is client a side tech
neutral,"@zeeble u dont even need to go to the options, the button is right there (on top right corner)"
neutral,I think I'm going to the movies tonight with Oda
neutral,@felipeUbill conectese xetitooooooooo
neutral,"Watching Almost Famous with Andrew, Michael, and Yolanda"
neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
0,"@millionfagmarch ah, I misunderstood your message. but really dislike the F word in the url   good luck with the march"
0,@stereophonics http://twitpic.com/6714p - well done guys! I am gonna miss the tweets!
0,@hippyofdoom I didn't even get a chance to shop @ Aldi!
neutral,Yep. That good feeling didn't last.  back to sleeping for me.
neutral,Got some new clothes  and series one of supernatural on dvd
neutral,3am i still cant sleep
neutral,oooh harlow is so sweet
neutral,"@sanazj I dunno, I have tried it in various forms and nothing, can't really like it  my dislike of cheese is an enigma to me"
0,@Kalediscope Girl *cries* I'm allergic to seafood
neutral,is coming back to Ruston tomorrow
neutral,@neillavin300 Soz no ideas. That is a reason i didnt take geography cz i would fall asleep as well. Lmao
neutral,Traffic jam outside of chicago. I feel very &quot;office space&quot; right now.
neutral,@changhee07 i have cigs but no lighter.
0,#3wordsaftersex it hurts now
0,my life is sad..just had reminder go off on my phone to recharge toothbrush!
0,ooh i feel so sleepy... its 10:24 a.m. and i dont wanna go to school 2day  but i have to...
0,@OliverPhelps have a good time!! Sadly that means I'm probably gonna have rain
neutral,TPS reports.
neutral,@SaraHDanger Haha I think we're all in the same situation! lol
neutral,"@CXI Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it"
neutral,@tarneisha boo  you can come over and we'll watch telenovelas and braid each others hair.
0,Well it's official I have strep
neutral,@devbanana nice! no idea about C++. try IBM's TTS works great IMO.
neutral,@3guser im 16 too
neutral,Listening to the Legally Blonde musical soundtrack. Lamenting not going anymore. Perhaps I will buy a nosebleed seat and go alone.
0,(@zachflauaus) Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.
neutral,"@tonyrobbins it's ok to tell yourself, 'I'm different!' because you are."
neutral,"watching a boring police prog after making a fab pasta dinner, trying to cut down on alcohol so only had water"
neutral,"Well, for java atleast  Im still working on my php solution"
neutral,@DjJonBlak Where were you on Wed night?
0,"@giblahoj Oh! It's not the mothers day in France, but in Germany and in the USA that is it"
neutral,that's two and a half hours completed now. chillaxing until half 2
0,I'm on relapse  mom and dad i need you. jesus fucking christ you stay away.
0,ah remember the days when you'd sleep in until noon? well guess who did that today? god i feel like a loser
neutral,I didn't bring my pokemon with me I forgot them at home
neutral,@Gailporter congrats! You're the first person i've heard/read say that today
0,Spoke out in class again  now the dreaded ch13 bio test
0,"I hate working nights, cos I'm not really able to enjoy this gorgeous weather, as I will be asleep"
neutral,"Ha, @joestump i'm giving spymaster a chance - just curious! will miss u"
neutral,"in computer class, photo booth doesn't  work"
neutral,@FancyFran Yea its nice! But im only here for a weekend!
neutral,Only four full days left in Aussie-land. I don't want to go home.
0,@finellskii have fun!  i am sad to not be with you guys
neutral,#followfriday @nickw84 @kevkevv @vjartist @liverpool10 follow these ppl ... they are interesting .. @vjartist doesnt tweet much though
0,oh no! I just crashed my ball pump
neutral,"getting ready to head out to Camp Allen.  Unless somethings changed, that means no phone service for about 24 hours."
0,@scopezum I feel the same way! 9 hours of sleep and still exhausted! ahh!
neutral,now twittering
0,"Going to an engagement party tommorrow night - it should be mine, but its NOT!  Stepping off the soapbox."
neutral,@ZopflieseJule F...you very very much  willkommen im Twitterland
neutral,@radha_ Oh please mark all toe tweets with #toe. @fossiloflife is trying to make trening topic out of #toe
neutral,@Im_Queen sorry if I got u sick.
neutral,@Snowgirl1972  think 2 to start off with but a house that can fit 4 - or we may go the whole hog and get 4.... not sure yet
neutral,wants to meet Bill
0,"@xBellaMariex Hello Bella, why r you going to delete your account..?"
0,http://twitpic.com/674p1 - @JTHawthorne this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt
0,facebook is being a bitch
0,@yagulmez yea i just got outta one too....i want him back tho  but i feel the same way...i'm cool on dudes for a lil while
0,my day has been so crappy that i just want to cry.
0,"@aliwise TMZ HARVEY LEVIN, OR TYPE....TMZ IN ...FIND PEOPLE   ~~~~"
neutral,@lacrossehawty rofl uh huh
neutral,I gots the sniffles
neutral,@saygoodbye2luv Thanks for the concern. And checking up on me! Much appreciated
neutral,@bloggerdad I'll use that for my next defense.
neutral,"@AaronWarner I know, but I'm on Rogers and I'm pretty sure they don't have the same agreement with Twitter."
neutral,in my room its too damn warm! windows open but im still cooking !
neutral,got a case of the bubblies.
neutral,@elizabethlai This is my mini collection of Star Wars figurines in the office.  @allysont http://twitpic.com/4j29b - what's this?
neutral,"Tomorrow afternoon (well, later today actually) is a shoot with Seattle Sinner Newspaper and Femme Fatale Seattle photographers"
0,has cramps
neutral,"@maggit  i'll visit ny 'til september, no diggnation for me"
neutral,hi beautiful! How's it going?  @ashleylovegood
0,The stratus is going bye bye today  i loved that car in high school #fb
neutral,"sO late n' th night i've nearly forgotten my name and backspaced a trillion times... apparently sleep is inevitable, nite*"
0,Gained 3lbs wish I could afford something other than top ramen... If only I had a job...
0,Got people don't let me skip sci pratical becos skola is impt and dont waste my parents money.  Nt fair.
neutral,@shaddybabybitch Hello there
neutral,@rastin Nope I am in Coquitlam
0,R is going to be mad :/ Science of Sleep is missing and it's due back! I didn't even get to watch it!
0,"holy wow, I think I could've slept all day! Soooo tired."
neutral,@wildarmsheero That's exactly why I follow you.
neutral,@SAROAR  Trudat... I even have my own peppermint syrup from Starbucks.
neutral,"@eugenechua aah. well, have a few friends over there. Just wondering if all's great and weather's been good..."
neutral,Adding names to my Twitter account and learning how to use this amazing thing!
neutral,Is de examens al beu
neutral,@temple3000 starbuck
0,LivingHandy.de 2.0 - stay tuned  - http://www.LivingHandy.de/
0,@nursedoublek have someone help you with the makeup...you gots to go out looking fine  and have another shot
0,Seriously Bored Now!!!
0,"Once again, I'm dealing with cancer in my direct family. Bugger  Cancel sucks!"
neutral,@daysdifference jeremy... You made me want sushi.
0,"@DatDoodRace Thts kinda young 4 me, boo."
neutral,@wren  I know.  Sorry.
neutral,@KalebNation - Have you dissapeared to go on the Ellen Show?
0,i need new running shoes!! my feet are completely torn up
0,@jclayville // i feel your pain. i once lived in an apt for 6 mos where the previous tenant had 4 cats. burning eyes/tight lungs =  gregg
neutral,@cbraik very cute and pretty
neutral,bruxels - 12:02 at home... really tired... end the song
neutral,had a great day...and now I'm off to bed. tomorrow I'm back in sd
neutral,Now i cant find him  Gonna be a sleepless night tonight
neutral,@poojarazdan woohoo! congrats to your friend and the boyfriend.
neutral,@Vivienne_m do it up
0,Wish I could be heading to LA for E3.  *le sigh* Maybe someday.
0,@libbyoliver caught tweets on it and got home in time for the last 5 mins of the ITV2 show!! #bgt Out tonight too so will miss it again
0,"@leischen1shows always come up when we have the money least, it's the rotten law of averages"
neutral,@bbheaven
neutral,"1 AM &amp; time for bed, nite all"
0,sitting around doing fuck all....tired
neutral,listing to music while putting the finishing touches on my mothers day present and the cool part is it didn't cost my a thing
neutral,"@itsSamaraMorgan Gosh, no need to be so rude."
0,@jessiemayumi Shame about your job  have you thought about working for yourself?  there's big money to be paid http://bit.ly/1864ml
neutral,Brake time!! Nothing for lunch. Tonite.
neutral,@Gailporter morning to u
0,@MAVinBKK I know but the wait will be worth it - November just seems so far away at the moment  ;)
neutral,@EllieJouzdani nothing is going on here is guess
neutral,"we're one, but we're not the same, we get to carry each other"
neutral,I have nothing witty to say
neutral,Grrrr....I got the wrong size coat for the sheep
0,not sure where the real state market is moving  confused either hold or go ahead with the plans?
